Gss year for this respondent                       ,Denied raise without reason at work,Promotions are handled fairly,A woman won't get a job or promotion             ,A man won't get a job or promotion  ,For or against preferential hiring of women      ,Favor preferences in hiring blacks,Sex makes your promotion different,Whites hurt by aff. action,Respondent id number,Ballot used for interview
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very likely,216,Ballot c
2014,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Somewhat likely,217,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,218,Ballot c
2014,Not applicable,Not applicable,Very unlikely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,219,Ballot b
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Against,Not applicable,Not applicable,Not very likely,220,Ballot a
2014,Not applicable,Very true,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not very likely,221,Ballot c
2014,Not applicable,Somewhat true,Not applicable,Somewhat likely,Strongly for,Not applicable,Not applicable,Not applicable,222,Ballot b
2014,Not applicable,Very true,Not applicable,Somewhat unlikely,Strongly against,Not applicable,Not applicable,Somewhat likely,223,Ballot a
2014,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,224,Ballot b
2014,Not applicable,Not too true,Not applicable,Somewhat likely,Strongly against,Not applicable,Not applicable,Not applicable,225,Ballot b
